job title,covered skills,missing skills,intersecting course skills,gt label
Adobe_AI_ML_Engineer,"['Communication', 'Debugging', 'Python', 'Quality Assurance', 'Teamwork', 'Testing']","['Analytical skills', 'Angular', 'Bug fixing', 'Code Review', 'Code/API documentation', 'Collaboration', 'Customer needs', 'Design', 'DevOps', 'Development', 'Efficiency', 'Feedback', 'Front-end frameworks', 'High performance', 'JavaScript', 'Knowledge sharing', 'Maintaining software applications', 'Planning', 'Problem Solving Skills', 'Programming', 'React.js', 'Reliability', 'Ruby', 'Strong communication skills', 'Vue']","[('CS150', ['Python']), ('CS164', ['Debugging', 'Quality Assurance', 'Testing']), ('CS214', ['Debugging']), ('CS220', ['Python']), ('CS314', ['Teamwork', 'Communication']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS445', ['Python'])]",0.19354838709677424
Adobe_Junior_SDE,"['Java', 'Security', 'Teamwork']","['Adobe Commerce', 'Agile development', 'Architecture Design', 'Automated tests', 'CI systems', 'CI/CD methodologies', 'Cloud Technology', 'Cloud computing', 'Clusters', 'Compliance', 'Containerization', 'Decision making', 'Designing Features', 'DevOps', 'Development', 'Distributed systems', 'Efficiency', 'Improvement', 'Infrastructure Development', 'Innovation', 'Knowledge sharing', 'Lean-Agile environment', 'Magento', 'Metrics', 'Monitoring', 'Observability', 'PHP', 'Performance', 'Product development', 'Programming', 'Quality Insights', 'Quality control', 'SQL', 'SaaS Design Principles', 'Scalability', 'Shift Quality', 'Software Development', 'Spring Boot', 'Terraform']","[('CS110', ['Security']), ('CS150', ['Security']), ('CS162', ['Java']), ('CS164', ['Java']), ('CS165', ['Java']), ('CS214', ['Java']), ('CS314', ['Teamwork', 'Java'])]",0.0714285714285714
Adobe_Software_Engineering_Intern,"['Algorithms', 'C++', 'Communication', 'Java', 'Networking', 'Python', 'Teamwork']","['Adobe Experience Manager', 'Analytical skills', 'Artificial Intelligence (AI)', 'Backend development', 'Cloud Engineering', 'Cloud Technology', 'Data structures', 'Design', 'Interpersonal Skills', 'JavaScript', 'Machine learning', 'Node.js', 'OOP/Func Paradigms', 'Programming']","[('CS150', ['Python']), ('CS152', ['Algorithms']), ('CS162', ['Java']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Teamwork', 'Communication', 'Java', 'Networking']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS445', ['Python'])]",0.33333333333333337
Adobe_Software_Quality_Engineer,"['Communication', 'Quality Assurance', 'Testing']","['Analytical skills', 'Collaboration', 'Deployment', 'HTML', 'High performance', 'Implementation', 'JavaScript', 'Open source tools', 'Problem Solving Skills', 'Programming', 'React.js', 'Scripting', 'Testing Methodologies', 'Testing Workflows', 'Time management', 'TypeScript', 'Web Debugging Tools']","[('CS164', ['Quality Assurance', 'Testing']), ('CS314', ['Communication'])]",0.15000000000000002
Adobe_Software_Solutions_Architect,"['Communication', 'Optimization', 'Research', 'Security', 'Teamwork']","['Actionable Insights', 'Adobe Cloud Solutions', 'Adobe Marketo', 'Analytical skills', 'Architecture Design', 'Architecture Solutions', 'Automation', 'CRM systems', 'Collaboration', 'Continuous improvement (CI)', 'Creative Solutions', 'Cross-Device Tracking platforms', 'Customer engagement', 'Customer needs', 'Data Management Platforms (DMPs)', 'Data Mining', 'Data Retention', 'Data management', 'Data storage', 'Demand-side Platforms (DSPs)', 'Effective Communication', 'Email systems', 'Enterprise Architecture', 'Feedback', 'HTML', 'Implementation', 'Innovation', 'Interpersonal Skills', 'JavaScript', 'Leadership', 'Mobile technologies', 'Performance', 'Problem Solving Skills', 'Product Advancements', 'Product Management', 'Product adoption', 'Product development', 'Programming', 'Progress Management', 'REST APIs', 'Recommendation Systems', 'Resolution Drive', 'Solution architecture', 'Strategic planning', 'Team collaboration', 'Technical leadership', 'Tooling', 'Web development']","[('CS110', ['Security', 'Research']), ('CS150', ['Security', 'Research']), ('CS314', ['Teamwork', 'Communication', 'Optimization'])]",0.09433962264150941
Amazon_Cloud_Support_Engineer_ETL,"['Java', 'Networking', 'Operating Systems', 'Python', 'Quality Assurance']","['Advanced Troubleshooting Techniques', 'Apache Hive', 'Apache Spark', 'Automation', 'Big data', 'Cloud computing', 'Collaboration', 'Continuous improvement (CI)', 'Customer engagement', 'Customer needs', 'Data analysis', 'Data lake architecture', 'Efficiency', 'Extract', 'HBASE', 'HDFS', 'Hadoop ecosystems', 'Innovation', 'Knowledge sharing', 'Load (ETL)', 'Mentorship', 'NoSQL', 'Operational efficiency', 'Pig', 'Problem Solving Skills', 'Programming', 'SQL', 'Scala', 'Shell', 'Software Development', 'Technical leadership', 'Transform', 'Troubleshooting']","[('CS150', ['Python']), ('CS162', ['Java']), ('CS164', ['Java', 'Quality Assurance']), ('CS165', ['Java']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS314', ['Java', 'Networking']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS370', ['Operating Systems']), ('CS445', ['Python'])]",0.13157894736842102
Amazon_Graduate_Software_Engineer,"['Abstraction', 'Algorithms', 'C++', 'Communication', 'Fault Tolerance', 'Java', 'Optimization', 'Python', 'Teamwork']","['Agile environment', 'Algorithm design', 'Analytical skills', 'Collaboration', 'Complexity analysis', 'Creating solutions for distributed systems', 'Customer engagement', 'Data structures', 'Designing and building innovative technologies', 'Distributed storage', 'Distributed systems', 'Efficiency', 'Innovation', 'Leadership', 'Object-oriented design', 'Problem Solving Skills', 'Relational databases', 'Scalability', 'Technical articulation']","[('CS150', ['Python']), ('CS152', ['Algorithms']), ('CS162', ['Java', 'Abstraction']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Teamwork', 'Communication', 'Optimization', 'Java']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS445', ['Python']), ('CS455', ['Abstraction']), ('CS458', ['Fault Tolerance'])]",0.3214285714285714
Amazon_SDE_AI_ML,"['Algorithms', 'C++', 'Java', 'Operating Systems', 'Optimization', 'Python', 'Research', 'Security']","['Amazon Web Services (AWS)', 'Artificial Intelligence (AI)', 'Automation', 'C#', 'Cloud computing', 'Coding skills', 'Collaboration', 'Complexity analysis', 'Data Mining', 'Data structures', 'Distributed systems', 'Generative AI', 'Innovation', 'Machine learning', 'Object-oriented design', 'Problem Solving Skills', 'Relational databases', 'Scalability', 'System Design', 'Transformative AI Solutions']","[('CS110', ['Security', 'Research']), ('CS150', ['Security', 'Python', 'Research']), ('CS152', ['Algorithms']), ('CS162', ['Java']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Optimization', 'Java']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS370', ['Operating Systems']), ('CS445', ['Python'])]",0.2857142857142857
Amazon_SDE_Cloud,"['C++', 'Java', 'Networking', 'Optimization', 'Python', 'Quality Assurance', 'Security']","['Algorithm design', 'Amazon Web Services (AWS)', 'Automation', 'C#', 'Collaboration', 'Complexity analysis', 'Compute technologies', 'Customer engagement', 'Data Mining', 'Data structures', 'Distributed systems', 'Innovation', 'Innovative technologies', 'Leadership', 'Object-oriented design', 'Problem Solving Skills', 'Programming', 'Scalability', 'Software Development']","[('CS110', ['Security']), ('CS150', ['Security', 'Python']), ('CS162', ['Java']), ('CS164', ['Java', 'Quality Assurance']), ('CS165', ['Java']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Optimization', 'Java', 'Networking']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS445', ['Python'])]",0.2692307692307693
Amazon_SDE_Embedded_Dev,"['Abstraction', 'Algorithms', 'C', 'Databases', 'Fault Tolerance', 'Java', 'Operating Systems', 'Teamwork']","['Agile environment', 'Availability', 'Compute technologies', 'Creating new products', 'Creative Solutions', 'Disaster Recovery', 'Distributed storage', 'Distributed systems', 'Efficiency', 'Innovation', 'Kernel', 'Large Scale Databases', 'Linear Programming', 'Multi-tenant Systems', 'Nonlinear Optimization', 'Problem Solving Skills', 'Programming', 'Relational databases', 'Rust', 'Scalability', 'Transactional Systems']","[('CS110 - Modules', ['Databases']), ('CS152', ['Algorithms']), ('CS162', ['Java', 'Abstraction']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS250', ['Databases']), ('CS270', ['C']), ('CS312', ['Databases']), ('CS314', ['Teamwork', 'Databases', 'Java']), ('CS370', ['Operating Systems']), ('CS455', ['Abstraction']), ('CS458', ['Fault Tolerance'])]",0.27586206896551724
Amazon_SDE_I,"['Abstraction', 'Algorithms', 'C++', 'Communication', 'Java', 'Operating Systems', 'Optimization', 'Quality Assurance']","['Agile development', 'Agile environment', 'Ambiguity Management', 'Analytical skills', 'Articulation', 'C#', 'Collaboration', 'Distributed systems', 'File systems', 'Innovation', 'Job scheduling', 'Kernel', 'Object-oriented design', 'Performance engineering', 'Problem Solving Skills', 'Programming', 'Relational databases', 'Resource management', 'System Design']","[('CS152', ['Algorithms']), ('CS162', ['Java', 'Abstraction']), ('CS164', ['Algorithms', 'Java', 'Quality Assurance']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS270', ['C++']), ('CS314', ['Communication', 'Optimization', 'Java']), ('CS370', ['Operating Systems']), ('CS455', ['Abstraction'])]",0.2962962962962963
Amazon_SDE_Query_Optimization,"['Algorithms', 'C++', 'Java', 'Operating Systems', 'Optimization', 'Python', 'Research', 'Teamwork']","['Algorithmic Expertise', 'Amazon Redshift', 'Analytical skills', 'C#', 'Cloud Data Warehouse', 'Cloud computing', 'Coding skills', 'Collaboration', 'Complexity analysis', 'Data structures', 'Database management', 'Deep learning', 'Distributed', 'Innovation', 'Innovative Engineers', 'Object-oriented design', 'Parallel Execution Engine', 'Performance', 'Perl', 'Problem Solving Skills', 'Programming', 'Query Analysis', 'Query optimization', 'Relational databases', 'Requirements gathering', 'multi-tiered systems']","[('CS110', ['Research']), ('CS150', ['Python', 'Research']), ('CS152', ['Algorithms']), ('CS162', ['Java']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Teamwork', 'Optimization', 'Java']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS370', ['Operating Systems']), ('CS445', ['Python'])]",0.23529411764705888
Amex_Backend_Engineer,"['Communication', 'Docker', 'Java', 'Maven', 'Microservices', 'Teamwork']","['Agile development', 'Application Design', 'Cloud infrastructure', 'Coding skills', 'Continuous Delivery (CD)', 'Contribution', 'Cutting edge technology', 'Database management', 'Design', 'Event driven micro services architecture', 'JavaScript', 'Jenkins', 'Knowledge sharing', 'Kubernetes', 'NoSQL', 'Object-oriented design', 'Open source tools', 'Performance Monitoring Tools', 'Programming', 'React.js', 'Relational databases', 'Software Development', 'Spring Boot', 'Spring Webflux', 'Trend Identification', 'User Interfaces (UI)', 'Vert.x', 'Web development']","[('CS162', ['Java']), ('CS164', ['Java']), ('CS165', ['Java']), ('CS214', ['Java']), ('CS312', ['Microservices']), ('CS314', ['Teamwork', 'Java', 'Docker', 'Communication', 'Maven'])]",0.17647058823529416
Amex_Engineer_Java,"['Algorithms', 'C++', 'Communication', 'Consistency', 'Documentation', 'Java', 'Python', 'Teamwork']","['Accountability', 'Agile methodology', 'Analytical skills', 'Analyzing Workflow', 'Application Design', 'Automated tests', 'Backend development', 'Coding skills', 'Consistent Development Practices', 'Continuous improvement (CI)', 'Cross-channel Communications', 'Customer engagement', 'Data structures', 'Deployment', 'Design', 'Distributed systems', 'Efficiency', 'Innovative ideas', 'JSON', 'Leadership', 'Mentorship', 'Monitoring', 'Multithreading programming', 'NoSQL', 'Node.js', 'Object-oriented design', 'Oracle', 'PostgreSQL', 'Problem Solving Skills', 'Programming', 'React.js', 'Relational databases', 'Requirements gathering', 'Reusable', 'Software Development', 'Software architecture', 'Support Applications', 'Team collaboration', 'User Interfaces (UI)', 'Web Services', 'XML']","[('CS150', ['Python']), ('CS152', ['Algorithms']), ('CS162', ['Java']), ('CS164', ['Java', 'Algorithms']), ('CS165', ['Java', 'Algorithms']), ('CS214', ['Documentation', 'Java']), ('CS220', ['Python']), ('CS270', ['C++']), ('CS314', ['Teamwork', 'Communication', 'Java']), ('CS320', ['Python']), ('CS345', ['Python']), ('CS445', ['Python']), ('CS455', ['Consistency'])]",0.16326530612244894
